2025-09-02 00:04:55,743 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T00:00:00Z)
2025-09-02 09:04:55,740 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T09:00:00Z)
2025-09-02 09:04:55,741 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T09:00:00Z)
2025-09-02 09:25:21,810 [canton-env-ec-167] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T10:25:21.808260Z
2025-09-02 09:25:21,814 [canton-env-ec-155] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T10:25:21.812771Z
2025-09-02 09:25:24,337 [canton-env-ec-36] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T10:25:24.335879Z
2025-09-02 09:25:41,782 [canton-env-ec-65] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 09:25:41,782 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 09:25:41,785 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 09:25:41,785 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 09:25:41,834 [canton-env-ec-61] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 09:25:41,839 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 09:25:44,320 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 09:25:44,320 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 09:25:44,373 [canton-env-ec-155] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 10:04:55,742 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T10:00:00Z)
2025-09-02 10:04:55,745 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T10:00:00Z)
2025-09-02 10:25:01,838 [canton-env-ec-61] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T11:25:01.836674Z
2025-09-02 10:25:01,845 [canton-env-ec-36] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T11:25:01.843836Z
2025-09-02 10:25:04,354 [canton-env-ec-89] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T11:25:04.353666Z
2025-09-02 10:25:21,810 [canton-env-ec-61] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 10:25:21,810 [canton-env-ec-155] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 10:25:21,813 [canton-env-ec-65] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 10:25:21,814 [canton-env-ec-167] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 10:25:21,862 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 10:25:21,868 [canton-env-ec-35] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 10:25:24,337 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 10:25:24,337 [canton-env-ec-61] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 10:25:24,389 [canton-env-ec-65] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
